Processing lilygo-t-display-s3 (platform: espressif32; board: lilygo-t-display-s3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Loop Step: 0.2402 | Loop Time: 22.71 | Pressure: 1.89 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.73 | Pressure: 1.77 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.75 | Pressure: 1.82 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.77 | Pressure: 1.88 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.79 | Pressure: 1.82 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.81 | Pressure: 1.79 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.83 | Pressure: 1.68 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.85 | Pressure: 1.83 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.87 | Pressure: 1.77 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.89 | Pressure: 1.67 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.91 | Pressure: 1.81 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.92 | Pressure: 1.74 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.94 | Pressure: 1.74 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.96 | Pressure: 1.71 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 22.98 | Pressure: 1.65 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.00 | Pressure: 1.57 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.02 | Pressure: 1.59 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.04 | Pressure: 1.51 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.06 | Pressure: 1.54 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.08 | Pressure: 1.46 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.09 | Pressure: 1.48 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.11 | Pressure: 1.49 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.13 | Pressure: 1.41 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.15 | Pressure: 1.45 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.17 | Pressure: 1.45 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.19 | Pressure: 1.99 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.21 | Pressure: 1.46 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.23 | Pressure: 1.45 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.25 | Pressure: 1.46 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.27 | Pressure: 1.44 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.29 | Pressure: 1.46 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.30 | Pressure: 1.49 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.32 | Pressure: 1.53 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.34 | Pressure: 1.51 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.36 | Pressure: 1.49 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.38 | Pressure: 1.51 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.40 | Pressure: 1.42 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.42 | Pressure: 1.56 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.44 | Pressure: 1.53 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.46 | Pressure: 1.54 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.48 | Pressure: 1.54 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.49 | Pressure: 1.52 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.51 | Pressure: 1.62 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.53 | Pressure: 1.63 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.55 | Pressure: 1.60 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.57 | Pressure: 1.70 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.59 | Pressure: 1.72 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.61 | Pressure: 1.68 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.63 | Pressure: 1.71 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.65 | Pressure: 1.69 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.66 | Pressure: 1.81 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.68 | Pressure: 1.78 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.70 | Pressure: 1.80 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.72 | Pressure: 1.83 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.74 | Pressure: 1.82 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.76 | Pressure: 1.81 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.78 | Pressure: 1.85 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.80 | Pressure: 1.85 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.82 | Pressure: 1.87 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.84 | Pressure: 1.88 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.86 | Pressure: 1.91 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.87 | Pressure: 1.89 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.89 | Pressure: 1.93 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.91 | Pressure: 1.81 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.93 | Pressure: 1.88 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.95 | Pressure: 1.91 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.97 | Pressure: 1.86 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 23.99 | Pressure: 1.93 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.01 | Pressure: 2.03 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.03 | Pressure: 1.91 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.05 | Pressure: 1.90 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.06 | Pressure: 1.92 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.08 | Pressure: 1.93 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.10 | Pressure: 1.95 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.12 | Pressure: 1.97 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.14 | Pressure: 1.93 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.16 | Pressure: 2.01 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.18 | Pressure: 2.00 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.20 | Pressure: 2.08 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.22 | Pressure: 1.92 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.23 | Pressure: 2.02 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.25 | Pressure: 2.06 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.27 | Pressure: 2.08 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.29 | Pressure: 1.97 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.31 | Pressure: 2.00 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.33 | Pressure: 2.07 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.35 | Pressure: 2.09 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.37 | Pressure: 2.10 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.39 | Pressure: 2.11 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.41 | Pressure: 2.11 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.43 | Pressure: 2.13 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.44 | Pressure: 2.19 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.46 | Pressure: 2.14 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.48 | Pressure: 2.13 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.50 | Pressure: 2.19 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.52 | Pressure: 2.45 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.54 | Pressure: 2.11 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.56 | Pressure: 2.21 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.58 | Pressure: 2.23 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.60 | Pressure: 2.31 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.62 | Pressure: 2.19 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.63 | Pressure: 2.21 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.65 | Pressure: 2.20 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.67 | Pressure: 2.21 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.69 | Pressure: 2.25 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.71 | Pressure: 2.28 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.73 | Pressure: 2.17 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.75 | Pressure: 2.27 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.77 | Pressure: 2.31 | Solenoid: PRESSURIZE
