Processing lilygo-t-display-s3 (platform: espressif32; board: lilygo-t-display-s3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
6704
Loop Step: 0.0060 | Loop Time: 124.0540 | Pressure: -0.02732605
Loop Step: 0.0060 | Loop Time: 124.0600 | Pressure: -0.05204529
Loop Step: 0.0060 | Loop Time: 124.0660 | Pressure: -0.05979675
Loop Step: 0.0060 | Loop Time: 124.0720 | Pressure: -0.01072449
Loop Step: 0.0060 | Loop Time: 124.0780 | Pressure: 0.01631409
Loop Step: 0.0060 | Loop Time: 124.0840 | Pressure: -0.04386658
Loop Step: 0.0060 | Loop Time: 124.0900 | Pressure: -0.03892273
Loop Step: 0.0060 | Loop Time: 124.0960 | Pressure: -0.03104919
Loop Step: 0.0060 | Loop Time: 124.1020 | Pressure: -0.04508728
Loop Step: 0.0060 | Loop Time: 124.1080 | Pressure: -0.05711121
Loop Step: 0.0060 | Loop Time: 124.1140 | Pressure: -0.01151794
Loop Step: 0.0060 | Loop Time: 124.1200 | Pressure: 0.02290588
Loop Step: 0.0060 | Loop Time: 124.1260 | Pressure: -0.04307312
Loop Step: 0.0060 | Loop Time: 124.1320 | Pressure: 0.03132874
Loop Step: 0.0060 | Loop Time: 124.1380 | Pressure: -0.00266785
Loop Step: 0.0060 | Loop Time: 124.1440 | Pressure: -0.00761169
Loop Step: 0.0060 | Loop Time: 124.1500 | Pressure: -0.00169128
Loop Step: 0.0060 | Loop Time: 124.1560 | Pressure: -0.00315613
Loop Step: 0.0060 | Loop Time: 124.1620 | Pressure: -0.00285095
Loop Step: 0.0060 | Loop Time: 124.1680 | Pressure: 0.01021057
Loop Step: 0.0060 | Loop Time: 124.1740 | Pressure: -0.03800720
Loop Step: 0.0060 | Loop Time: 124.1800 | Pressure: -0.02232117
Loop Step: 0.0060 | Loop Time: 124.1860 | Pressure: 0.07625061
Loop Step: 0.0060 | Loop Time: 124.1920 | Pressure: -0.01377625
Loop Step: 0.0060 | Loop Time: 124.1980 | Pressure: 0.01857239
Loop Step: 0.0060 | Loop Time: 124.2040 | Pressure: -0.03996033
Loop Step: 0.0060 | Loop Time: 124.2100 | Pressure: -0.01469177
Loop Step: 0.0060 | Loop Time: 124.2160 | Pressure: 0.00032288
Loop Step: 0.0060 | Loop Time: 124.2220 | Pressure: -0.00144714
Loop Step: 0.0060 | Loop Time: 124.2280 | Pressure: -0.04179138
Loop Step: 0.0060 | Loop Time: 124.2340 | Pressure: 0.09053284
Loop Step: 0.0060 | Loop Time: 124.2400 | Pressure: -0.04734558
Loop Step: 0.0060 | Loop Time: 124.2460 | Pressure: -0.05418152
Loop Step: 0.0060 | Loop Time: 124.2520 | Pressure: 0.01527649
Loop Step: 0.0060 | Loop Time: 124.2580 | Pressure: -0.00144714
Loop Step: 0.0060 | Loop Time: 124.2640 | Pressure: -0.03349060
Loop Step: 0.0060 | Loop Time: 124.2700 | Pressure: -0.02421326
Loop Step: 0.0060 | Loop Time: 124.2760 | Pressure: -0.04801697
Loop Step: 0.0060 | Loop Time: 124.2820 | Pressure: -0.01310486
Loop Step: 0.0060 | Loop Time: 124.2880 | Pressure: -0.08183044
Loop Step: 0.0060 | Loop Time: 124.2940 | Pressure: -0.03721375
Loop Step: 0.0060 | Loop Time: 124.3000 | Pressure: -0.03843445
Loop Step: 0.0060 | Loop Time: 124.3060 | Pressure: -0.06449646
Loop Step: 0.0060 | Loop Time: 124.3120 | Pressure: -0.05985779
Loop Step: 0.0060 | Loop Time: 124.3180 | Pressure: 0.08265930
Loop Step: 0.0060 | Loop Time: 124.3240 | Pressure: -0.01450867
Loop Step: 0.0060 | Loop Time: 124.3300 | Pressure: -0.03001160
Loop Step: 0.0060 | Loop Time: 124.3360 | Pressure: 0.02272278
Loop Step: 0.0060 | Loop Time: 124.3420 | Pressure: -0.10246033
Loop Step: 0.0060 | Loop Time: 124.3480 | Pressure: -0.02811951
Loop Step: 0.0060 | Loop Time: 124.3540 | Pressure: 0.05940491
Loop Step: 0.0060 | Loop Time: 124.3600 | Pressure: 0.01912170
Loop Step: 0.0060 | Loop Time: 124.3660 | Pressure: 0.04658752
Loop Step: 0.0060 | Loop Time: 124.3720 | Pressure: 0.00886780
Loop Step: 0.0060 | Loop Time: 124.3780 | Pressure: 0.04530579
Loop Step: 0.0060 | Loop Time: 124.3840 | Pressure: 0.05940491
Loop Step: 0.0060 | Loop Time: 124.3900 | Pressure: 0.04170471
Loop Step: 0.0060 | Loop Time: 124.3960 | Pressure: 0.02937561
Loop Step: 0.0060 | Loop Time: 124.4020 | Pressure: 0.05092102
Loop Step: 0.0060 | Loop Time: 124.4080 | Pressure: 0.02833801
Loop Step: 0.0060 | Loop Time: 124.4140 | Pressure: -0.02146667
Loop Step: 0.0060 | Loop Time: 124.4200 | Pressure: -0.06431335
Loop Step: 0.0060 | Loop Time: 124.4260 | Pressure: -0.02921814
Loop Step: 0.0060 | Loop Time: 124.4320 | Pressure: -0.05912537
Loop Step: 0.0060 | Loop Time: 124.4380 | Pressure: -0.03428406
Loop Step: 0.0060 | Loop Time: 124.4440 | Pressure: -0.10215515
Loop Step: 0.0060 | Loop Time: 124.4500 | Pressure: 0.11171204
Loop Step: 0.0060 | Loop Time: 124.4560 | Pressure: 0.00422913
Loop Step: 0.0060 | Loop Time: 124.4620 | Pressure: -0.03306335
Loop Step: 0.0060 | Loop Time: 124.4680 | Pressure: -0.04154724
Loop Step: 0.0060 | Loop Time: 124.4740 | Pressure: -0.03049988
Loop Step: 0.0060 | Loop Time: 124.4800 | Pressure: -0.05131287
Loop Step: 0.0060 | Loop Time: 124.4860 | Pressure: -0.07078308
Loop Step: 0.0060 | Loop Time: 124.4920 | Pressure: -0.07493347
Loop Step: 0.0060 | Loop Time: 124.4980 | Pressure: -0.01395935
Loop Step: 0.0060 | Loop Time: 124.5040 | Pressure: -0.05711121
Loop Step: 0.0060 | Loop Time: 124.5100 | Pressure: -0.00828308
Loop Step: 0.0060 | Loop Time: 124.5160 | Pressure: -0.01597351
Loop Step: 0.0060 | Loop Time: 124.5220 | Pressure: -0.04612488
Loop Step: 0.0060 | Loop Time: 124.5280 | Pressure: -0.09031433
Loop Step: 0.0060 | Loop Time: 124.5340 | Pressure: 0.00538879
Loop Step: 0.0060 | Loop Time: 124.5400 | Pressure: -0.10746521
Loop Step: 0.0060 | Loop Time: 124.5460 | Pressure: -0.06004089
Loop Step: 0.0060 | Loop Time: 124.5520 | Pressure: -0.05589050
Loop Step: 0.0060 | Loop Time: 124.5580 | Pressure: -0.03922791
Loop Step: 0.0060 | Loop Time: 124.5640 | Pressure: -0.04551453
Loop Step: 0.0060 | Loop Time: 124.5700 | Pressure: -0.01749939
Loop Step: 0.0060 | Loop Time: 124.5760 | Pressure: -0.01048035
Loop Step: 0.0060 | Loop Time: 124.5820 | Pressure: -0.00437683
Loop Step: 0.0060 | Loop Time: 124.5880 | Pressure: -0.01322693
Loop Step: 0.0060 | Loop Time: 124.5940 | Pressure: -0.02146667
Loop Step: 0.0060 | Loop Time: 124.6000 | Pressure: -0.03056091
Loop Step: 0.0060 | Loop Time: 124.6060 | Pressure: 0.02583557
Loop Step: 0.0060 | Loop Time: 124.6120 | Pressure: -0.05466980
Loop Step: 0.0060 | Loop Time: 124.6180 | Pressure: -0.04099792
Loop Step: 0.0060 | Loop Time: 124.6240 | Pressure: -0.03654236
Loop Step: 0.0060 | Loop Time: 124.6300 | Pressure: -0.01566833
Loop Step: 0.0060 | Loop Time: 124.6360 | Pressure: -0.07694763
Loop Step: 0.0060 | Loop Time: 124.6420 | Pressure: 0.01655823
Loop Step: 0.0060 | Loop Time: 124.6480 | Pressure: 0.25099426
Loop Step: 0.0060 | Loop Time: 124.6540 | Pressure: -0.09666199
Loop Step: 0.0060 | Loop Time: 124.6600 | Pressure: 0.00801331
Loop Step: 0.0060 | Loop Time: 124.6660 | Pressure: -0.08115906
Loop Step: 0.0060 | Loop Time: 124.6720 | Pressure: -0.04386658
Loop Step: 0.0060 | Loop Time: 124.6780 | Pressure: -0.00449890
Loop Step: 0.0060 | Loop Time: 124.6840 | Pressure: 0.02351624
Loop Step: 0.0060 | Loop Time: 124.6900 | Pressure: 0.02400452
Loop Step: 0.0060 | Loop Time: 124.6960 | Pressure: 0.03132874
Loop Step: 0.0060 | Loop Time: 124.7020 | Pressure: -0.01701111
Loop Step: 0.0060 | Loop Time: 124.7080 | Pressure: 0.01210266
Loop Step: 0.0060 | Loop Time: 124.7140 | Pressure: -0.05589050
Loop Step: 0.0060 | Loop Time: 124.7200 | Pressure: 0.02290588
Loop Step: 0.0060 | Loop Time: 124.7260 | Pressure: -0.05759949
Loop Step: 0.0060 | Loop Time: 124.7320 | Pressure: -0.02543396
Loop Step: 0.0060 | Loop Time: 124.7380 | Pressure: -0.06730408
Loop Step: 0.0060 | Loop Time: 124.7440 | Pressure: -0.09061951
Loop Step: 0.0060 | Loop Time: 124.7500 | Pressure: 0.22664124
Loop Step: 0.0060 | Loop Time: 124.7560 | Pressure: -0.11143250
Loop Step: 0.0060 | Loop Time: 124.7620 | Pressure: -0.03843445
Loop Step: 0.0060 | Loop Time: 124.7680 | Pressure: -0.01444763
