Processing lilygo-t-display-s3 (platform: espressif32; board: lilygo-t-display-s3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Calibrated pressure sensor at 649.9773.
Pressure Control System Initialized!
Loop Step: 11.8750 | Loop Time: 11.8750 | Pressure: 0.06415466
Loop Step: 0.0070 | Loop Time: 11.8820 | Pressure: 0.02356628
Loop Step: 0.0060 | Loop Time: 11.8880 | Pressure: 0.01373962
Loop Step: 0.0060 | Loop Time: 11.8940 | Pressure: 0.03540710
Loop Step: 0.0060 | Loop Time: 11.9000 | Pressure: 0.03382019
Loop Step: 0.0060 | Loop Time: 11.9060 | Pressure: 0.10889343
Loop Step: 0.0060 | Loop Time: 11.9120 | Pressure: 0.05341248
Loop Step: 0.0060 | Loop Time: 11.9180 | Pressure: 0.19116882
Loop Step: 0.0060 | Loop Time: 11.9240 | Pressure: 0.19361023
Loop Step: 0.0060 | Loop Time: 11.9300 | Pressure: 0.19904236
Loop Step: 0.0060 | Loop Time: 11.9360 | Pressure: 0.18530945
Loop Step: 0.0060 | Loop Time: 11.9420 | Pressure: 0.11841492
Loop Step: 0.0060 | Loop Time: 11.9480 | Pressure: 0.15613464
Loop Step: 0.0060 | Loop Time: 11.9540 | Pressure: 0.08496765
Loop Step: 0.0060 | Loop Time: 11.9600 | Pressure: 0.10193542
Loop Step: 0.0060 | Loop Time: 11.9660 | Pressure: 0.16205505
Loop Step: 0.0060 | Loop Time: 11.9720 | Pressure: 0.09839539
Loop Step: 0.0060 | Loop Time: 11.9780 | Pressure: 0.12457947
Loop Step: 0.0060 | Loop Time: 11.9840 | Pressure: 0.21948914
Loop Step: 0.0060 | Loop Time: 11.9900 | Pressure: 0.13049988
Loop Step: 0.0060 | Loop Time: 11.9960 | Pressure: 0.09680847
Loop Step: 0.0060 | Loop Time: 12.0020 | Pressure: 0.19238953
Loop Step: 0.0060 | Loop Time: 12.0080 | Pressure: 0.10388855
Loop Step: 0.0060 | Loop Time: 12.0140 | Pressure: 0.06970886
Loop Step: 0.0060 | Loop Time: 12.0200 | Pressure: 0.09729675
Loop Step: 0.0060 | Loop Time: 12.0260 | Pressure: 0.07923035
Loop Step: 0.0060 | Loop Time: 12.0320 | Pressure: 0.08270935
Loop Step: 0.0060 | Loop Time: 12.0380 | Pressure: 0.08618835
Loop Step: 0.0060 | Loop Time: 12.0440 | Pressure: 0.07318787
Loop Step: 0.0060 | Loop Time: 12.0500 | Pressure: 0.10657410
Loop Step: 0.0060 | Loop Time: 12.0560 | Pressure: 0.08838562
Loop Step: 0.0060 | Loop Time: 12.0620 | Pressure: 0.12134460
Loop Step: 0.0060 | Loop Time: 12.0680 | Pressure: 0.05365662
Loop Step: 0.0060 | Loop Time: 12.0740 | Pressure: 0.12122253
Loop Step: 0.0060 | Loop Time: 12.0800 | Pressure: 0.20246033
Loop Step: 0.0060 | Loop Time: 12.0860 | Pressure: 0.14282898
Loop Step: 0.0060 | Loop Time: 12.0920 | Pressure: 0.11756042
Loop Step: 0.0060 | Loop Time: 12.0980 | Pressure: 0.09064392
Loop Step: 0.0060 | Loop Time: 12.1040 | Pressure: 0.14765076
Loop Step: 0.0060 | Loop Time: 12.1100 | Pressure: 0.12250427
Loop Step: 0.0060 | Loop Time: 12.1160 | Pressure: 0.16992859
Loop Step: 0.0060 | Loop Time: 12.1220 | Pressure: 0.20844177
