Processing lilygo-t-display-s3 (platform: espressif32; board: lilygo-t-display-s3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Loop Step: 0.0060 | Loop Time: 69.5610 | Pressure: 0.05299194
Loop Step: 0.0060 | Loop Time: 69.5670 | Pressure: 1.32484253
Loop Step: 0.0060 | Loop Time: 69.5730 | Pressure: 1.30207642
Loop Step: 0.0060 | Loop Time: 69.5790 | Pressure: 1.35047729
Loop Step: 0.0060 | Loop Time: 69.5850 | Pressure: 1.34211548
Loop Step: 0.0060 | Loop Time: 69.5910 | Pressure: 1.33393677
Loop Step: 0.0060 | Loop Time: 69.5970 | Pressure: 1.29005249
Loop Step: 0.0060 | Loop Time: 69.6030 | Pressure: 1.25391968
Loop Step: 0.0060 | Loop Time: 69.6090 | Pressure: 1.29951294
Loop Step: 0.0060 | Loop Time: 69.6150 | Pressure: 1.27381714
Loop Step: 0.0060 | Loop Time: 69.6210 | Pressure: 1.26905640
Loop Step: 0.0060 | Loop Time: 69.6270 | Pressure: 1.28803833
Loop Step: 0.0060 | Loop Time: 69.6330 | Pressure: 1.33259399
Loop Step: 0.0060 | Loop Time: 69.6390 | Pressure: 1.29755981
Loop Step: 0.0060 | Loop Time: 69.6450 | Pressure: 1.28919800
Loop Step: 0.0060 | Loop Time: 69.6510 | Pressure: 1.27638062
Loop Step: 0.0060 | Loop Time: 69.6570 | Pressure: 1.05122192
Loop Step: 0.0060 | Loop Time: 69.6630 | Pressure: 0.19935425
Loop Step: 0.0060 | Loop Time: 69.6690 | Pressure: 1.37385376
Loop Step: 0.0060 | Loop Time: 69.6750 | Pressure: 1.36915405
Loop Step: 0.0060 | Loop Time: 69.6810 | Pressure: 1.33131226
Loop Step: 0.0060 | Loop Time: 69.6870 | Pressure: 1.34687622
Loop Step: 0.0060 | Loop Time: 69.6930 | Pressure: 1.36695679
Loop Step: 0.0060 | Loop Time: 69.6990 | Pressure: 1.40199097
Loop Step: 0.0060 | Loop Time: 69.7050 | Pressure: 1.40614136
Loop Step: 0.0060 | Loop Time: 69.7110 | Pressure: 1.34467896
Loop Step: 0.0060 | Loop Time: 69.7170 | Pressure: 1.30586060
Loop Step: 0.0060 | Loop Time: 69.7230 | Pressure: 1.35157593
Loop Step: 0.0060 | Loop Time: 69.7290 | Pressure: 1.32777222
Loop Step: 0.0060 | Loop Time: 69.7350 | Pressure: 1.27638062
Loop Step: 0.0060 | Loop Time: 69.7410 | Pressure: 1.31495483
Loop Step: 0.0060 | Loop Time: 69.7470 | Pressure: 1.31745728
Loop Step: 0.0060 | Loop Time: 69.7530 | Pressure: 1.25245483
Loop Step: 0.0060 | Loop Time: 69.7590 | Pressure: 1.22761353
Loop Step: 0.0060 | Loop Time: 69.7650 | Pressure: -0.01811401
Loop Step: 0.0060 | Loop Time: 69.7710 | Pressure: 1.34010132
Loop Step: 0.0060 | Loop Time: 69.7770 | Pressure: 1.23206909
Loop Step: 0.0060 | Loop Time: 69.7830 | Pressure: 1.28901489
