Processing lilygo-t-display-s3 (platform: espressif32; board: lilygo-t-display-s3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
e: 39.66 | Pressure: -0.03 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 40.79 | Pressure: -0.03 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 40.81 | Pressure: 0.03 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 40.83 | Pressure: 0.47 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 40.85 | Pressure: -0.03 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 40.87 | Pressure: -0.01 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 40.88 | Pressure: 0.07 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 40.90 | Pressure: -0.02 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 40.92 | Pressure: -0.06 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 40.94 | Pressure: -0.03 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 40.96 | Pressure: -0.04 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 40.97 | Pressure: -0.03 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 40.99 | Pressure: 0.02 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.01 | Pressure: -0.01 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.03 | Pressure: -0.07 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.05 | Pressure: -0.02 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.06 | Pressure: -0.06 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.08 | Pressure: -0.03 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.10 | Pressure: -0.06 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.12 | Pressure: 0.00 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.14 | Pressure: 0.24 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.15 | Pressure: -0.04 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.17 | Pressure: -0.03 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.19 | Pressure: -0.08 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.21 | Pressure: -0.06 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.23 | Pressure: -0.04 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.24 | Pressure: -0.02 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.26 | Pressure: -0.01 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.28 | Pressure: -0.10 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.30 | Pressure: -0.06 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.32 | Pressure: -0.07 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.33 | Pressure: -0.01 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.35 | Pressure: -0.05 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.37 | Pressure: -0.03 | Solenoid: RELEASE
