Processing lilygo-t-display-s3 (platform: espressif32; board: lilygo-t-display-s3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Calibrated pressure sensor at 649.9023.
Pressure Control System Initialized!
Loop Step: 12.7710 | Loop Time: 12.7710 | Pressure: -0.04020874
Loop Step: 0.0070 | Loop Time: 12.7780 | Pressure: 0.09779175
Loop Step: 0.0060 | Loop Time: 12.7840 | Pressure: 0.14338501
Loop Step: 0.0060 | Loop Time: 12.7900 | Pressure: 0.11115845
Loop Step: 0.0060 | Loop Time: 12.7960 | Pressure: 0.09876831
Loop Step: 0.0060 | Loop Time: 12.8020 | Pressure: 0.08808716
Loop Step: 0.0060 | Loop Time: 12.8080 | Pressure: 0.14045532
Loop Step: 0.0060 | Loop Time: 12.8140 | Pressure: 0.19563110
Loop Step: 0.0060 | Loop Time: 12.8200 | Pressure: 0.15821655
Loop Step: 0.0060 | Loop Time: 12.8260 | Pressure: -0.59636108
Loop Step: 0.0060 | Loop Time: 12.8320 | Pressure: 0.05396851
Loop Step: 0.0060 | Loop Time: 12.8380 | Pressure: 0.08180054
Loop Step: 0.0060 | Loop Time: 12.8440 | Pressure: 0.15553101
Loop Step: 0.0060 | Loop Time: 12.8500 | Pressure: 0.04286011
Loop Step: 0.0060 | Loop Time: 12.8560 | Pressure: 0.21790894
Loop Step: 0.0060 | Loop Time: 12.8620 | Pressure: 0.22266968
Loop Step: 0.0060 | Loop Time: 12.8680 | Pressure: 0.18653687
Loop Step: 0.0060 | Loop Time: 12.8740 | Pressure: 0.15791138
Loop Step: 0.0060 | Loop Time: 12.8800 | Pressure: 0.20881470
Loop Step: 0.0060 | Loop Time: 12.8860 | Pressure: 0.23066528
Loop Step: 0.0060 | Loop Time: 12.8920 | Pressure: 0.16309937
Loop Step: 0.0060 | Loop Time: 12.8980 | Pressure: 0.15595825
Loop Step: 0.0060 | Loop Time: 12.9040 | Pressure: 0.24427612
Loop Step: 0.0060 | Loop Time: 12.9100 | Pressure: 0.18061646
Loop Step: 0.0060 | Loop Time: 12.9160 | Pressure: 0.10328491
Loop Step: 0.0060 | Loop Time: 12.9220 | Pressure: 0.10468872
Loop Step: 0.0060 | Loop Time: 12.9280 | Pressure: -0.48539917
Loop Step: 0.0060 | Loop Time: 12.9340 | Pressure: 0.17970093
Loop Step: 0.0060 | Loop Time: 12.9400 | Pressure: 0.14472778
Loop Step: 0.0060 | Loop Time: 12.9460 | Pressure: 0.18519409
Loop Step: 0.0060 | Loop Time: 12.9520 | Pressure: 0.17298706
Loop Step: 0.0060 | Loop Time: 12.9580 | Pressure: 0.06080444
Loop Step: 0.0060 | Loop Time: 12.9640 | Pressure: 0.21870239
Loop Step: 0.0060 | Loop Time: 12.9700 | Pressure: 0.18452271
Loop Step: 0.0060 | Loop Time: 12.9760 | Pressure: 0.13923462
Loop Step: 0.0060 | Loop Time: 12.9820 | Pressure: 0.16792114
Loop Step: 0.0060 | Loop Time: 12.9880 | Pressure: 0.12421997
Loop Step: 0.0060 | Loop Time: 12.9940 | Pressure: 0.14387329
Loop Step: 0.0060 | Loop Time: 13.0000 | Pressure: 0.16566284
Loop Step: 0.0060 | Loop Time: 13.0060 | Pressure: 0.10859497
Loop Step: 0.0060 | Loop Time: 13.0120 | Pressure: 0.17109497
Loop Step: 0.0060 | Loop Time: 13.0180 | Pressure: 0.18354614
Loop Step: 0.0060 | Loop Time: 13.0240 | Pressure: 0.08881958
Loop Step: 0.0060 | Loop Time: 13.0300 | Pressure: -0.47307007
Loop Step: 0.0060 | Loop Time: 13.0360 | Pressure: -0.02189819
Loop Step: 0.0060 | Loop Time: 13.0420 | Pressure: 0.17274292
Loop Step: 0.0060 | Loop Time: 13.0480 | Pressure: 0.17725952
Loop Step: 0.0060 | Loop Time: 13.0540 | Pressure: 0.17970093
Loop Step: 0.0060 | Loop Time: 13.0600 | Pressure: 0.26106079
Loop Step: 0.0060 | Loop Time: 13.0660 | Pressure: 0.23194702
Loop Step: 0.0060 | Loop Time: 13.0720 | Pressure: 0.19184692
Loop Step: 0.0060 | Loop Time: 13.0780 | Pressure: 0.15199097
Loop Step: 0.0060 | Loop Time: 13.0840 | Pressure: 0.12904175
Loop Step: 0.0060 | Loop Time: 13.0900 | Pressure: 0.13996704
Loop Step: 0.0060 | Loop Time: 13.0960 | Pressure: 0.18519409
Loop Step: 0.0060 | Loop Time: 13.1020 | Pressure: 0.13654907
Loop Step: 0.0060 | Loop Time: 13.1080 | Pressure: 0.13020142
Loop Step: 0.0060 | Loop Time: 13.1140 | Pressure: -0.64439575
Loop Step: 0.0060 | Loop Time: 13.1200 | Pressure: 0.08576782
Loop Step: 0.0060 | Loop Time: 13.1260 | Pressure: 0.12116821
Loop Step: 0.0060 | Loop Time: 13.1320 | Pressure: -0.57811157
Loop Step: 0.0060 | Loop Time: 13.1380 | Pressure: -0.16459839
Loop Step: 0.0060 | Loop Time: 13.1440 | Pressure: 0.13404663
Loop Step: 0.0060 | Loop Time: 13.1500 | Pressure: 0.18671997
Loop Step: 0.0060 | Loop Time: 13.1560 | Pressure: 0.12147339
Loop Step: 0.0060 | Loop Time: 13.1620 | Pressure: 0.17939575
Loop Step: 0.0060 | Loop Time: 13.1680 | Pressure: 0.17170532
Loop Step: 0.0060 | Loop Time: 13.1740 | Pressure: 0.09119995
