Processing lilygo-t-display-s3 (platform: espressif32; board: lilygo-t-display-s3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Loop Step: 0.018 | Loop Time: 34.60 | Pressure: 0.52 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 34.62 | Pressure: 0.63 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 34.63 | Pressure: 0.65 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 34.65 | Pressure: 0.57 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 34.67 | Pressure: 0.67 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 34.69 | Pressure: 0.61 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 34.71 | Pressure: 0.64 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 34.72 | Pressure: 0.68 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 34.74 | Pressure: 0.61 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 34.76 | Pressure: 0.62 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 34.78 | Pressure: 0.62 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 34.80 | Pressure: 1.29 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 34.81 | Pressure: 1.31 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 34.83 | Pressure: 0.84 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 34.85 | Pressure: 0.75 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 34.87 | Pressure: 0.66 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 34.89 | Pressure: 0.68 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 34.90 | Pressure: 0.97 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 34.92 | Pressure: 0.95 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 34.94 | Pressure: 1.00 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 34.96 | Pressure: 0.68 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 34.98 | Pressure: 0.71 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 34.99 | Pressure: 0.71 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.01 | Pressure: 1.61 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.03 | Pressure: 1.54 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.05 | Pressure: 0.98 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.07 | Pressure: 0.76 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.08 | Pressure: 0.71 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.10 | Pressure: 1.01 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.12 | Pressure: 0.80 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.14 | Pressure: 0.70 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.16 | Pressure: 0.74 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.17 | Pressure: 0.73 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.19 | Pressure: 0.77 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.21 | Pressure: 0.69 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.23 | Pressure: 0.75 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.25 | Pressure: 0.83 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.26 | Pressure: 0.81 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.28 | Pressure: 0.79 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.30 | Pressure: 0.82 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.32 | Pressure: 0.94 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.34 | Pressure: 0.94 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.35 | Pressure: 0.96 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.37 | Pressure: 0.81 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.39 | Pressure: 0.87 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.41 | Pressure: 0.80 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.43 | Pressure: 1.12 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.44 | Pressure: 1.01 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.46 | Pressure: 1.02 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.48 | Pressure: 0.91 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.50 | Pressure: 0.90 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.52 | Pressure: 1.06 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.53 | Pressure: 1.00 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.55 | Pressure: 0.93 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.57 | Pressure: 0.88 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.59 | Pressure: 0.97 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.61 | Pressure: 0.91 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.62 | Pressure: 0.88 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.64 | Pressure: 0.91 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.66 | Pressure: 0.92 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.68 | Pressure: 0.93 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.70 | Pressure: 0.97 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.71 | Pressure: 0.99 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.73 | Pressure: 0.95 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.75 | Pressure: 0.93 | Solenoid: PRESSURIZE
