Processing lilygo-t-display-s3 (platform: espressif32; board: lilygo-t-display-s3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Loop Step: 0.018 | Loop Time: 25.81 | Pressure: -0.12 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 25.83 | Pressure: -0.12 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 25.85 | Pressure: -0.10 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 25.87 | Pressure: -0.02 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 25.88 | Pressure: -0.02 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 25.90 | Pressure: -0.13 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 25.92 | Pressure: -0.12 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 25.94 | Pressure: -0.08 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 25.96 | Pressure: -0.03 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 25.97 | Pressure: -0.05 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 25.99 | Pressure: -0.11 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 26.01 | Pressure: -0.05 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 26.03 | Pressure: -0.06 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 26.05 | Pressure: -0.09 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 26.06 | Pressure: 0.17 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 26.08 | Pressure: -0.12 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 26.10 | Pressure: -0.07 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 26.12 | Pressure: -0.11 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 26.14 | Pressure: -0.06 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 26.15 | Pressure: -0.18 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 26.17 | Pressure: 0.01 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 26.19 | Pressure: 0.04 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 26.21 | Pressure: -0.06 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 26.23 | Pressure: -0.07 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 26.24 | Pressure: -0.11 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 26.26 | Pressure: -0.04 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 26.28 | Pressure: -0.08 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 26.30 | Pressure: -0.01 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 26.32 | Pressure: -0.03 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 26.33 | Pressure: -0.09 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 26.35 | Pressure: -0.07 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 26.37 | Pressure: -0.07 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 26.39 | Pressure: -0.09 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 26.41 | Pressure: -0.08 | Solenoid: RELEASE
