Processing lilygo-t-display-s3 (platform: espressif32; board: lilygo-t-display-s3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Loop Step: 0.0060 | Loop Time: 41.0570 | Pressure: -0.42183228
Loop Step: 0.0060 | Loop Time: 41.0630 | Pressure: -0.45527954
Loop Step: 0.0060 | Loop Time: 41.0690 | Pressure: -0.45161743
Loop Step: 0.0060 | Loop Time: 41.0750 | Pressure: -0.42134399
Loop Step: 0.0060 | Loop Time: 41.0810 | Pressure: -0.40468140
Loop Step: 0.0060 | Loop Time: 41.0870 | Pressure: -0.59608765
Loop Step: 0.0060 | Loop Time: 41.0930 | Pressure: -0.60573120
Loop Step: 0.0060 | Loop Time: 41.0990 | Pressure: -0.49074097
Loop Step: 0.0060 | Loop Time: 41.1050 | Pressure: -0.54976196
Loop Step: 0.0060 | Loop Time: 41.1110 | Pressure: -0.58668823
Loop Step: 0.0060 | Loop Time: 41.1170 | Pressure: -0.52974243
Loop Step: 0.0060 | Loop Time: 41.1230 | Pressure: -0.55348511
Loop Step: 0.0060 | Loop Time: 41.1290 | Pressure: -0.40651245
Loop Step: 0.0060 | Loop Time: 41.1350 | Pressure: -0.44929810
Loop Step: 0.0060 | Loop Time: 41.1410 | Pressure: -0.51973267
Loop Step: 0.0060 | Loop Time: 41.1470 | Pressure: -0.46040649
Loop Step: 0.0060 | Loop Time: 41.1530 | Pressure: -0.48012085
Loop Step: 0.0060 | Loop Time: 41.1590 | Pressure: -0.48225708
Loop Step: 0.0060 | Loop Time: 41.1650 | Pressure: -0.49074097
Loop Step: 0.0060 | Loop Time: 41.1710 | Pressure: -0.46516724
Loop Step: 0.0060 | Loop Time: 41.1770 | Pressure: -0.50642700
Loop Step: 0.0060 | Loop Time: 41.1830 | Pressure: -0.45399780
Loop Step: 0.0060 | Loop Time: 41.1890 | Pressure: -0.58650513
Loop Step: 0.0060 | Loop Time: 41.1950 | Pressure: -0.64302368
Loop Step: 0.0060 | Loop Time: 41.2010 | Pressure: -0.63093872
Loop Step: 0.0060 | Loop Time: 41.2070 | Pressure: -0.59437866
Loop Step: 0.0060 | Loop Time: 41.2130 | Pressure: -0.57612915
Loop Step: 0.0060 | Loop Time: 41.2190 | Pressure: -0.56532593
Loop Step: 0.0060 | Loop Time: 41.2250 | Pressure: -0.66121216
Loop Step: 0.0060 | Loop Time: 41.2310 | Pressure: -0.49641724
Loop Step: 0.0060 | Loop Time: 41.2370 | Pressure: -0.46840210
Loop Step: 0.0060 | Loop Time: 41.2430 | Pressure: -0.51076050
Loop Step: 0.0060 | Loop Time: 41.2490 | Pressure: -0.49244995
Loop Step: 0.0060 | Loop Time: 41.2550 | Pressure: -0.62098999
Loop Step: 0.0060 | Loop Time: 41.2610 | Pressure: -0.64522095
Loop Step: 0.0060 | Loop Time: 41.2670 | Pressure: -0.62886353
Loop Step: 0.0060 | Loop Time: 41.2730 | Pressure: -0.63588257
Loop Step: 0.0060 | Loop Time: 41.2790 | Pressure: -0.64424438
Loop Step: 0.0060 | Loop Time: 41.2850 | Pressure: -0.60322876
Loop Step: 0.0060 | Loop Time: 41.2910 | Pressure: -0.57814331
Loop Step: 0.0060 | Loop Time: 41.2970 | Pressure: -0.67427368
Loop Step: 0.0060 | Loop Time: 41.3030 | Pressure: -0.60267944
