Processing lilygo-t-display-s3 (platform: espressif32; board: lilygo-t-display-s3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
e: 120.3880 | Pressure: -0.17506714
Loop Step: 0.0060 | Loop Time: 120.3940 | Pressure: -0.11543579
Loop Step: 0.0060 | Loop Time: 120.4000 | Pressure: -0.49617310
Loop Step: 0.0060 | Loop Time: 120.4060 | Pressure: -0.53468628
Loop Step: 0.0060 | Loop Time: 120.4120 | Pressure: -0.53895874
Loop Step: 0.0060 | Loop Time: 120.4180 | Pressure: -0.49562378
Loop Step: 0.0060 | Loop Time: 120.4240 | Pressure: -0.44148560
Loop Step: 0.0060 | Loop Time: 120.4300 | Pressure: -0.51375122
Loop Step: 0.0060 | Loop Time: 120.4360 | Pressure: -0.48878784
Loop Step: 0.0060 | Loop Time: 120.4420 | Pressure: -0.45631714
Loop Step: 0.0060 | Loop Time: 120.4480 | Pressure: -0.46815796
Loop Step: 0.0060 | Loop Time: 120.4540 | Pressure: -0.44942017
Loop Step: 0.0060 | Loop Time: 120.4600 | Pressure: -0.45607300
Loop Step: 0.0060 | Loop Time: 120.4660 | Pressure: -0.40352173
Loop Step: 0.0060 | Loop Time: 120.4720 | Pressure: -0.50813599
Loop Step: 0.0060 | Loop Time: 120.4780 | Pressure: -0.54066772
Loop Step: 0.0060 | Loop Time: 120.4840 | Pressure: -0.53364868
Loop Step: 0.0060 | Loop Time: 120.4900 | Pressure: 0.40836792
Loop Step: 0.0060 | Loop Time: 120.4960 | Pressure: -0.00209351
Loop Step: 0.0060 | Loop Time: 120.5020 | Pressure: -0.48848267
Loop Step: 0.0060 | Loop Time: 120.5080 | Pressure: -0.49617310
Loop Step: 0.0060 | Loop Time: 120.5140 | Pressure: -0.51106567
Loop Step: 0.0060 | Loop Time: 120.5200 | Pressure: -0.53340454
Loop Step: 0.0060 | Loop Time: 120.5260 | Pressure: -0.48848267
Loop Step: 0.0060 | Loop Time: 120.5320 | Pressure: -0.51527710
Loop Step: 0.0060 | Loop Time: 120.5380 | Pressure: -0.52803345
Loop Step: 0.0060 | Loop Time: 120.5440 | Pressure: -0.53499146
Loop Step: 0.0060 | Loop Time: 120.5500 | Pressure: -0.55696411
Loop Step: 0.0060 | Loop Time: 120.5560 | Pressure: -0.55708618
Loop Step: 0.0060 | Loop Time: 120.5620 | Pressure: -0.53755493
Loop Step: 0.0060 | Loop Time: 120.5680 | Pressure: -0.53053589
Loop Step: 0.0060 | Loop Time: 120.5740 | Pressure: -0.57319946
Loop Step: 0.0060 | Loop Time: 120.5800 | Pressure: -0.46321411
Loop Step: 0.0060 | Loop Time: 120.5860 | Pressure: -0.49104614
Loop Step: 0.0060 | Loop Time: 120.5920 | Pressure: 0.09067993
Loop Step: 0.0060 | Loop Time: 120.5980 | Pressure: 0.06473999
Loop Step: 0.0060 | Loop Time: 120.6040 | Pressure: -0.54378052
Loop Step: 0.0060 | Loop Time: 120.6100 | Pressure: -0.53865356
Loop Step: 0.0060 | Loop Time: 120.6160 | Pressure: -0.47511597
Loop Step: 0.0060 | Loop Time: 120.6220 | Pressure: -0.44905396
Loop Step: 0.0060 | Loop Time: 120.6280 | Pressure: -0.46840210
Loop Step: 0.0060 | Loop Time: 120.6340 | Pressure: -0.47743530
Loop Step: 0.0060 | Loop Time: 120.6400 | Pressure: -0.52748413
Loop Step: 0.0060 | Loop Time: 120.6460 | Pressure: -0.53224487
Loop Step: 0.0060 | Loop Time: 120.6520 | Pressure: -0.44600220
Loop Step: 0.0060 | Loop Time: 120.6580 | Pressure: -0.54201050
Loop Step: 0.0060 | Loop Time: 120.6640 | Pressure: -0.54066772
Loop Step: 0.0060 | Loop Time: 120.6700 | Pressure: -0.49171753
Loop Step: 0.0060 | Loop Time: 120.6760 | Pressure: -0.55757446
